Year,Month,Fatalities,Change,Trend
2020,January,9,0.0,No Change
2020,February,19,10.0,Increase
2020,March,17,-2.0,Decrease
2020,April,7,-10.0,Decrease
2020,May,6,-1.0,Decrease
2020,June,12,6.0,Increase
2020,July,10,-2.0,Decrease
2020,August,16,6.0,Increase
2020,September,17,1.0,Increase
2020,October,12,-5.0,Decrease
2020,November,11,-1.0,Decrease
2020,December,8,-3.0,Decrease
2021,January,3,-5.0,Decrease
2021,February,5,2.0,Increase
2021,March,9,4.0,Increase
2021,April,18,9.0,Increase
2021,May,7,-11.0,Decrease
2021,June,9,2.0,Increase
2021,July,17,8.0,Increase
2021,August,21,4.0,Increase
2021,September,9,-12.0,Decrease
2021,October,12,3.0,Increase
2021,November,3,-9.0,Decrease
2021,December,19,16.0,Increase
2022,January,13,-6.0,Decrease
2022,February,13,0.0,No Change
2022,March,16,3.0,Increase
2022,April,8,-8.0,Decrease
2022,May,12,4.0,Increase
2022,June,13,1.0,Increase
2022,July,12,-1.0,Decrease
2022,August,12,0.0,No Change
2022,September,9,-3.0,Decrease
2022,October,12,3.0,Increase
2022,November,17,5.0,Increase
2022,December,15,-2.0,Decrease
2023,January,16,1.0,Increase
2023,February,13,-3.0,Decrease
2023,March,11,-2.0,Decrease
2023,April,10,-1.0,Decrease
2023,May,20,10.0,Increase
2023,June,10,-10.0,Decrease
2023,July,17,7.0,Increase
2023,August,26,9.0,Increase
2023,September,9,-17.0,Decrease
2023,October,22,13.0,Increase
2023,November,13,-9.0,Decrease
2023,December,13,0.0,No Change
2024,January,18,5.0,Increase
2024,February,20,2.0,Increase
2024,March,18,-2.0,Decrease
2024,April,10,-8.0,Decrease
2024,May,8,-2.0,Decrease
2024,June,11,3.0,Increase
2024,July,21,10.0,Increase
2024,August,13,-8.0,Decrease
2024,September,13,0.0,No Change
2024,October,9,-4.0,Decrease
2024,November,17,8.0,Increase
2024,December,14,-3.0,Decrease
