id,Month,Fatalities,Year
1,January,9,2020
2,February,19,2020
3,March,17,2020
4,April,7,2020
5,May,6,2020
6,June,12,2020
7,July,10,2020
8,August,16,2020
9,September,17,2020
10,October,12,2020
11,November,11,2020
12,December,8,2020
13,January,3,2021
14,February,5,2021
15,March,9,2021
16,April,18,2021
17,May,7,2021
18,June,9,2021
19,July,17,2021
20,August,21,2021
21,September,9,2021
22,October,12,2021
23,November,3,2021
24,December,19,2021
25,January,13,2022
26,February,13,2022
27,March,16,2022
28,April,8,2022
29,May,12,2022
30,June,13,2022
31,July,12,2022
32,August,12,2022
33,September,9,2022
34,October,12,2022
35,November,17,2022
36,December,15,2022
37,January,16,2023
38,February,13,2023
39,March,11,2023
40,April,10,2023
41,May,20,2023
42,June,10,2023
43,July,17,2023
44,August,26,2023
45,September,9,2023
46,October,22,2023
47,November,13,2023
48,December,13,2023
49,January,18,2024
50,February,20,2024
51,March,18,2024
52,April,10,2024
53,May,8,2024
54,June,11,2024
55,July,21,2024
56,August,13,2024
57,September,13,2024
58,October,9,2024
59,November,17,2024
60,December,14,2024
