Month,Fatalities
2000 January,32
2000 February,41
2000 March,23
2000 April,42
2000 May,29
2000 June,30
2000 July,39
2000 August,32
2000 September,39
2000 October,40
2000 November,36
2000 December,32
2001 January,30
2001 February,38
2001 March,31
2001 April,22
2001 May,40
2001 June,24
2001 July,41
2001 August,34
2001 September,42
2001 October,32
2001 November,41
2001 December,36
2002 January,35
2002 February,33
2002 March,34
2002 April,32
2002 May,20
2002 June,34
2002 July,42
2002 August,35
2002 September,36
2002 October,31
2002 November,23
2002 December,21
2003 January,20
2003 February,21
2003 March,33
2003 April,23
2003 May,38
2003 June,37
2003 July,32
2003 August,26
2003 September,20
2003 October,34
2003 November,30
2003 December,21
2004 January,32
2004 February,36
2004 March,25
2004 April,27
2004 May,26
2004 June,36
2004 July,38
2004 August,35
2004 September,34
2004 October,22
2004 November,29
2004 December,34
2005 January,33
2005 February,37
2005 March,26
2005 April,23
2005 May,41
2005 June,22
2005 July,41
2005 August,24
2005 September,31
2005 October,44
2005 November,34
2005 December,40
2006 January,40
2006 February,31
2006 March,27
2006 April,37
2006 May,30
2006 June,32
2006 July,38
2006 August,17
2006 September,23
2006 October,32
2006 November,27
2006 December,31
2007 January,22
2007 February,25
2007 March,34
2007 April,30
2007 May,24
2007 June,29
2007 July,31
2007 August,28
2007 September,28
2007 October,27
2007 November,23
2007 December,37
2008 January,25
2008 February,32
2008 March,20
2008 April,19
2008 May,19
2008 June,28
2008 July,26
2008 August,28
2008 September,19
2008 October,22
2008 November,22
2008 December,19
2009 January,18
2009 February,15
2009 March,24
2009 April,20
2009 May,28
2009 June,15
2009 July,19
2009 August,20
2009 September,14
2009 October,22
2009 November,25
2009 December,18
2010 January,15
2010 February,14
2010 March,12
2010 April,19
2010 May,28
2010 June,11
2010 July,21
2010 August,19
2010 September,13
2010 October,36
2010 November,14
2010 December,10
2011 January,21
2011 February,18
2011 March,15
2011 April,8
2011 May,11
2011 June,15
2011 July,18
2011 August,16
2011 September,13
2011 October,15
2011 November,18
2011 December,18
2012 January,10
2012 February,13
2012 March,13
2012 April,16
2012 May,13
2012 June,26
2012 July,15
2012 August,12
2012 September,10
2012 October,15
2012 November,8
2012 December,12
2013 January,19
2013 February,14
2013 March,15
2013 April,12
2013 May,17
2013 June,13
2013 July,18
2013 August,19
2013 September,17
2013 October,13
2013 November,15
2013 December,16
2014 January,16
2014 February,13
2014 March,15
2014 April,14
2014 May,18
2014 June,18
2014 July,18
2014 August,15
2014 September,11
2014 October,17
2014 November,20
2014 December,17
2015 January,12
2015 February,13
2015 March,11
2015 April,7
2015 May,12
2015 June,13
2015 July,19
2015 August,14
2015 September,16
2015 October,11
2015 November,14
2015 December,20
2016 January,15
2016 February,9
2016 March,17
2016 April,14
2016 May,20
2016 June,12
2016 July,19
2016 August,13
2016 September,17
2016 October,20
2016 November,9
2016 December,17
2017 January,16
2017 February,11
2017 March,20
2017 April,7
2017 May,8
2017 June,13
2017 July,16
2017 August,10
2017 September,13
2017 October,10
2017 November,14
2017 December,16
2018 January,12
2018 February,10
2018 March,13
2018 April,17
2018 May,4
2018 June,16
2018 July,8
2018 August,12
2018 September,10
2018 October,7
2018 November,11
2018 December,15
2019 January,14
2019 February,14
2019 March,11
2019 April,9
2019 May,11
2019 June,11
2019 July,8
2019 August,8
2019 September,18
2019 October,10
2019 November,11
2019 December,15
2020 January,9
2020 February,19
2020 March,17
2020 April,7
2020 May,6
2020 June,12
2020 July,10
2020 August,16
2020 September,17
2020 October,12
2020 November,11
2020 December,8
2021 January,3
2021 February,5
2021 March,9
2021 April,18
2021 May,7
2021 June,9
2021 July,17
2021 August,21
2021 September,9
2021 October,12
2021 November,3
2021 December,19
2022 January,13
2022 February,13
2022 March,16
2022 April,8
2022 May,12
2022 June,13
2022 July,12
2022 August,12
2022 September,9
2022 October,12
2022 November,17
2022 December,15
2023 January,16
2023 February,13
2023 March,11
2023 April,10
2023 May,20
2023 June,10
2023 July,17
2023 August,26
2023 September,9
2023 October,22
2023 November,13
2023 December,13
2024 January,18
2024 February,20
2024 March,18
2024 April,10
2024 May,8
2024 June,11
2024 July,21
2024 August,13
2024 September,13
2024 October,9
2024 November,17
2024 December,14
2025 January,14
2025 February,14
